2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200
41,42,42,41,42,42,43,43,41,42,42,43,43,42,43,43,44,44,42,43,43,44,44,43,44,44,45,45,43,44,44,45,45,44,45,45,46,46,44
3.858888445445051e-06,1.6339437561794361e-06,1.52964947387011e-06,1.4601199523305596e-06,1.5991789954096605e-06,3.3721817946681984e-06,1.6339437561794368e-06,1.564414234639887e-06,1.5296494738701107e-06,1.5296494738701107e-06,1.4948847131003347e-06,1.564414234639887e-06,1.564414234639887e-06,1.5296494738701107e-06,1.564414234639887e-06,1.5296494738701054e-06,1.5991789954096633e-06,1.564414234639887e-06,1.4948847131003347e-06,1.5296494738701054e-06,1.564414234639887e-06,1.5991789954096578e-06,1.5991789954096633e-06,1.564414234639887e-06,1.5991789954096633e-06,1.5991789954096633e-06,1.5991789954096633e-06,1.5991789954096578e-06,1.564414234639887e-06,1.564414234639887e-06,1.5644142346398762e-06,1.5991789954096633e-06,1.5991789954096633e-06,1.564414234639887e-06,1.5991789954096633e-06,1.5991789954096633e-06,1.6339437561794395e-06,1.6339437561794395e-06,1.564414234639887e-06
