5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250
1,1,2,2,1,2,2,3,3,1,2,2,3,3,2,3,3,4,4,2,3,3,4,4,3,4,4,5,5,3,4,4,5,5,4,5,5,6,6,4,5,5,6,6,5,6,6,7,7,5
8.621510751434455e-07,2.4632887861241304e-07,2.0527406551034427e-07,2.052740655103441e-07,1.6421925240827513e-07,1.6421925240827513e-07,1.6421925240827513e-07,2.0527406551034443e-07,2.052740655103441e-07,1.6421925240827548e-07,1.6421925240827513e-07,1.6421925240827582e-07,2.0527406551034443e-07,2.0527406551034377e-07,1.6421925240827513e-07,1.6421925240827513e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,1.6421925240827513e-07,1.6421925240827513e-07,1.6421925240827513e-07,2.0527406551034443e-07,2.0527406551034443e-07,1.6421925240827582e-07,2.0527406551034377e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034512e-07,1.6421925240827582e-07,2.4632887861241304e-07,2.0527406551034512e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.0527406551034377e-07
