Amounts, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70
Greedy-Question6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Greedy-Question6, 7.38986635837239e-07,2.8738369171448184e-07,2.463288786124129e-07,2.052740655103441e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.052740655103441e-07,2.052740655103441e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034443e-07,2.0527406551034443e-07,3.694933179186196e-07,2.0527406551034443e-07,2.0527406551034443e-07,2.0527406551034443e-07,2.4632887861241235e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034512e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.4632887861241304e-07
Amounts, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70
DP-Question6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
DP-Question6, 6.527715283228944e-06,9.812100331394455e-06,1.4615513464336506e-05,2.2908585710954413e-05,2.746566996528405e-05,3.584085183810609e-05,6.314230255098188e-05,4.2655950813049555e-05,4.495502034676537e-05,5.558821694020121e-05,5.308387334097501e-05,8.654354601916117e-05,6.486660470126871e-05,6.765833199220946e-05,6.954685339490459e-05,8.670776527156931e-05,8.867839630046867e-05,8.789835485152938e-05,8.666671045846723e-05,9.15111784045115e-05,9.553455008851422e-05,0.00010645513037366457,0.00010407395121374441,0.00011302390046999538,0.00011027322799215706,0.00015580301572235138,0.00013761573351813474,0.00012878894870119,0.00013121118267421205,0.00014073589931389192,0.00014241914665107694,0.00014783838198054975,0.0001526828499265942,0.0001516154247859402,0.00015896423633121048
Amounts, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70
Slow-Question6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Slow-Question6, 6.774044161841908e-06,1.5929267483603266e-05,3.6703002913249236e-05,6.273175441996112e-05,0.0001180325876684478,0.00022058751079741533,0.00034535308781460315,0.0005728788620262687,0.0008270081551280742,0.001260670145925228,0.0018268981282289598,0.0026439299637732337,0.003744281064534882,0.00518177429049072,0.007712557189354652,0.009829836010654546,0.013266739689494239,0.01788643253380453,0.023629631393466043,0.03570504251636446,0.042940994380417166,0.053145701889506715,0.06811703741899885,0.08774546672753725,0.11153032636934221,0.14394774050730613,0.1822472419376558,0.22467262892032416,0.282806408492106,0.3491926160455348,0.43506257574613016,0.5362713936631074,0.664682145426001,0.8091068607519268,0.9929781489862748
