Q5 - greedy - V1, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
Q5 - greedy - V1, 1,2,1,2,3,1,2,3,2,3,4,1,2,3,2,3,4,2,3,4,3,4,5,1,2,3,2,3,4,1,2,3,2,3,4,2,3,4,3,4,5,2,3,4,3,4,5,3,4,5
Q5 - greedy - V1, 1.8474665895930975e-06,3.694933179186196e-07,2.4632887861241304e-07,2.052740655103441e-07,4.1054813102068886e-07,5.74767383428964e-07,3.694933179186196e-07,3.694933179186196e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.4632887861241304e-07,1.6421925240827582e-07,2.0527406551034512e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.87383691714481e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.4632887861241304e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.463288786124117e-07,2.0527406551034512e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.0527406551034512e-07,1.6421925240827582e-07,2.0527406551034377e-07,2.463288786124117e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.4632887861241304e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,2.0527406551034377e-07,3.2843850481654894e-07,2.0527406551034377e-07,2.4632887861241304e-07,2.4632887861241304e-07
Q5 - greedy - v2, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
Q5 - greedy - v2, 2,4,1,3,5,2,2,4,6,3,5,7,2,4,6,3,5,7,2,4,6,3,5,7,2,4,6,3,5,7,4,4,6,8,5,7,2,4,6,3,5,7,4,4,6,8,5,7,9,4
Q5 - greedy - v2, 1.6011377109806943e-06,5.747673834289538e-07,3.2843850481655434e-07,3.694933179186101e-07,5.747673834289755e-07,3.284385048165327e-07,3.694933179186101e-07,3.2843850481655434e-07,4.926577572248424e-07,3.2843850481655434e-07,3.6949331791863177e-07,4.1054813102068754e-07,3.694933179186101e-07,3.694933179186101e-07,4.1054813102068754e-07,3.2843850481655434e-07,4.926577572248207e-07,4.1054813102068754e-07,3.2843850481655434e-07,3.2843850481655434e-07,3.6949331791863177e-07,3.2843850481655434e-07,3.6949331791863177e-07,4.1054813102068754e-07,2.873836917144769e-07,4.5160294412276496e-07,4.5160294412276496e-07,3.2843850481655434e-07,3.6949331791863177e-07,4.5160294412276496e-07,3.2843850481655434e-07,3.6949331791863177e-07,4.1054813102068754e-07,4.5160294412274326e-07,4.1054813102068754e-07,5.337125703268981e-07,3.284385048165327e-07,3.694933179186101e-07,4.1054813102068754e-07,2.873836917144769e-07,3.2843850481655434e-07,3.2843850481655434e-07,3.2843850481655434e-07,3.2843850481655434e-07,3.6949331791863177e-07,4.926577572248424e-07,4.926577572248207e-07,4.1054813102068754e-07,4.926577572248207e-07,3.2843850481655434e-07
Q5 - dp - v1, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
Q5 - dp - v1, 1,2,1,2,3,1,2,3,2,3,4,1,2,3,2,3,4,2,3,4,3,4,5,1,2,3,2,3,4,1,2,3,2,3,4,2,3,4,3,4,5,2,3,4,3,4,5,2,3,4
Q5 - dp - v1, 6.815098974943421e-06,7.554085610780685e-06,1.0961635098252374e-05,1.3342814258172344e-05,1.7201966689766843e-05,2.1759050944096482e-05,2.3606517533689576e-05,2.6931957394957153e-05,3.867363394214887e-05,3.387022080920681e-05,4.532451366468394e-05,5.944736937179562e-05,4.0562155344844e-05,5.2714380023056315e-05,5.796939610012118e-05,5.981686268971432e-05,6.540031727159564e-05,6.720672904808669e-05,8.506557274748656e-05,9.959897658561902e-05,8.157591363381085e-05,7.295440288237632e-05,7.04911140962522e-05,0.00011717043659330433,9.28659872368797e-05,7.60745686781335e-05,0.00011540507962991553,0.00012258967192277752,9.873682551047557e-05,8.342338022340398e-05,9.553455008851422e-05,0.00014623724426956927,0.00015251863067418554,9.93937025201088e-05,9.393341237753338e-05,8.075481737176946e-05,9.11416850865928e-05,0.00012981531902874177,0.0001707469676915041,0.00018413083676277857,0.00018901635952192492,0.0001343724032830715,0.0001757967097030584,0.00016536878717513318,0.00012616144066265807,0.00011483031224648679,0.0001034581290172136,9.565771452782063e-05,9.914737364149634e-05,0.00010563403411162353
Q5 - dp - v2, 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
